품번,브랜드,카테고리,상품명,소비자가,프로모션 할인,프로모션 할인가,프로모션 이름,시작 일자,종료 일자
L47440800,신발(살로몬),신발,S/LAB 제네시스," 278,000 ",30%," 194,600 ",트레일위크,2026-09-05,2026-09-18
L47443700,신발(살로몬),신발,제네시스," 248,000 ",30%," 173,600 ",트레일위크,2026-09-05,2026-09-18
DFNXM33076CLK,신발(스카르파),신발,골든게이트 ATR," 199,000 ",30%," 139,300 ",트레일위크,2026-09-05,2026-09-18
DFNXM33076MYG,신발(스카르파),신발,골든게이트 ATR," 199,000 ",30%," 139,300 ",트레일위크,2026-09-05,2026-09-18
DFNXM33082AAE,신발(스카르파),신발,리벨레런 GTX," 275,000 ",30%," 192,500 ",트레일위크,2026-09-05,2026-09-18
DFNXW33076WW2,신발(스카르파),신발,골든게이트 ATR," 199,000 ",30%," 139,300 ",트레일위크,2026-09-05,2026-09-18
DFOXM33063ASN,신발(스카르파),신발,스핀플레닛," 230,000 ",30%," 161,000 ",트레일위크,2026-09-05,2026-09-18
ALOA85PE480,신발(알트라),신발,팀프 5," 229,000 ",30%," 160,300 ",트레일위크,2026-09-05,2026-09-18
AL0A85NJ923,신발(알트라),신발,올림퍼스 6," 249,000 ",30%," 174,300 ",트레일위크,2026-09-05,2026-09-18
AL0A85NC923,신발(알트라),신발,론픽8," 199,000 ",30%," 139,300 ",트레일위크,2026-09-05,2026-09-18
K32002APS32BLK,의류(칼렉),의류,플라이트 우븐 쇼츠 4인치," 150,000 ",30%," 105,000 ",트레일위크,2026-09-05,2026-09-18
C24FW-J05-BLK,의류(케일),의류,프리마로프트 자켓," 325,000 ",30%," 227,500 ",트레일위크,2026-09-05,2026-09-18
C24FW-J06-GRY,의류(케일),의류,프리마로프트 자켓," 325,000 ",30%," 227,500 ",트레일위크,2026-09-05,2026-09-18
C24FW-H01-BLK,케일,의류,패커블 스트레치 후디," 172,000 ",30%," 120,400 ",트레일위크,2026-09-05,2026-09-18
C24FW-J01-BLK,의류(케일),의류,라이트 에어 패커블 자켓," 228,000 ",30%," 159,600 ",트레일위크,2026-09-05,2026-09-18
25SS-HIP-GRY,용품(ARC),용품,3km 힙 색," 59,000 ",20%," 47,200 ",트레일위크,2026-09-05,2026-09-18
21SS-VEST-BLK,용품(ARC),용품,10km 러닝 베스트," 124,000 ",20%," 99,200 ",트레일위크,2026-09-05,2026-09-18
22FW-AD15-BLK,용품(ARC),용품,안단테 트레일 러닝 베스트 15L," 238,000 ",20%," 190,400 ",트레일위크,2026-09-05,2026-09-18
24SS-GYM-GBL,용품(ARC),용품,짐 색," 51,000 ",20%," 40,800 ",트레일위크,2026-09-05,2026-09-18
WP7C5R,용품(CEP),용품,코어 런 미드컷 삭스 V5," 45,000 ",20%," 36,000 ",트레일위크,2026-09-05,2026-09-18
GONTEX Multicolor Tape 5cm-Beige,용품(곤텍스),용품,곤텍스 멀티컬러 테이프 5cm," 13,500 ",20%," 10,800 ",트레일위크,2026-09-05,2026-09-18
GONTEX Multicolor Tape 5cm-Blue,용품(곤텍스),용품,곤텍스 멀티컬러 테이프 5cm," 13,500 ",20%," 10,800 ",트레일위크,2026-09-05,2026-09-18
GONTEX Multicolor Tape 5cm-Leopard,용품(곤텍스),용품,곤텍스 멀티컬러 테이프 5cm," 13,500 ",20%," 10,800 ",트레일위크,2026-09-05,2026-09-18
GONTEX Multicolor Tape 5cm-Military,용품(곤텍스),용품,곤텍스 멀티컬러 테이프 5cm," 13,500 ",20%," 10,800 ",트레일위크,2026-09-05,2026-09-18
GONTEX Multicolor Tape 5cm-Zebra,용품(곤텍스),용품,곤텍스 멀티컬러 테이프 5cm," 13,500 ",20%," 10,800 ",트레일위크,2026-09-05,2026-09-18
IM6268-010,의류(나이키),의류,리플렉트 투인원 쇼츠," 125,000 ",20%," 100,000 ",트레일위크,2026-09-05,2026-09-18
FB5682-010,용품(나이키),용품,드라이 핏 클럽 언스트럭쳐드 페더라이트 캡," 39,000 ",20%," 31,200 ",트레일위크,2026-09-05,2026-09-18
DM4756-084,의류(나이키),의류,드라이 핏 스트라이드 5인치 브리프 라인드 쇼츠," 69,000 ",20%," 55,200 ",트레일위크,2026-09-05,2026-09-18
HV2708-017,의류(나이키),의류,써마 핏 리펠 윈터라이즈드 하프집 러닝 탑," 115,000 ",20%," 92,000 ",트레일위크,2026-09-05,2026-09-18
HV4549-014,의류(나이키),의류,스트라이드 리펠 UV 러닝 자켓," 155,000 ",20%," 124,000 ",트레일위크,2026-09-05,2026-09-18
FN3372-010,의류(나이키),의류,드라이핏 페스트 하프 타이즈," 55,000 ",20%," 44,000 ",트레일위크,2026-09-05,2026-09-18
HV5204-100,의류(나이키),의류,스트라이드 드라이 핏 ADV 숏 슬리브 탑," 69,000 ",20%," 55,200 ",트레일위크,2026-09-05,2026-09-18
IH2823-084,의류(나이키),의류,드라이 핏 플리스 러닝 크루," 99,000 ",20%," 79,200 ",트레일위크,2026-09-05,2026-09-18
DM4756-635,의류(나이키),의류,드라이 핏 스트라이드 5인치 브리프 라인드 쇼츠," 69,000 ",20%," 55,200 ",트레일위크,2026-09-05,2026-09-18
IB1999-675,의류(나이키),의류,스위프트 드라이 핏 풀집 미드 레이어 러닝 탑," 115,000 ",20%," 92,000 ",트레일위크,2026-09-05,2026-09-18
HV2009-010,의류(나이키),의류,드라이 핏 ADV 런 5인치 브리프 라인드 러닝 쇼츠," 125,000 ",20%," 100,000 ",트레일위크,2026-09-05,2026-09-18
DM4762-635,의류(나이키),의류,드라이 핏 스트라이드 7인치 브리프 라인드 쇼츠," 75,000 ",20%," 60,000 ",트레일위크,2026-09-05,2026-09-18
HJ3535-133,의류(나이키),의류,드라이 핏 야코브 숏 슬리브 탑," 69,000 ",20%," 55,200 ",트레일위크,2026-09-05,2026-09-18
HJ3581-133,의류(나이키),의류,솔라 체이스 드라이 핏 ADV 숏 슬리브 탑," 75,000 ",20%," 60,000 ",트레일위크,2026-09-05,2026-09-18
HJ3581-633,의류(나이키),의류,솔라 체이스 드라이 핏 ADV 숏 슬리브 탑," 75,000 ",20%," 60,000 ",트레일위크,2026-09-05,2026-09-18
HV2163-133,의류(나이키),의류,트레일 드라이 핏 6인치 브리프 라인드 러닝 쇼츠," 79,000 ",20%," 63,200 ",트레일위크,2026-09-05,2026-09-18
HV4549-010,의류(나이키),의류,스트라이드 리펠 UV 러닝 자켓," 155,000 ",20%," 124,000 ",트레일위크,2026-09-05,2026-09-18
HJ2313-533,의류(나이키),의류,트레일 드라이 핏 탱크 탑," 75,000 ",20%," 60,000 ",트레일위크,2026-09-05,2026-09-18
HF0854-010,용품(나이키),용품,트레일 러닝 크루 삭스," 29,000 ",20%," 23,200 ",트레일위크,2026-09-05,2026-09-18
HQ0621-607,의류(나이키),의류,스위프트 드라이 핏 러닝 탱크 탑," 65,000 ",20%," 52,000 ",트레일위크,2026-09-05,2026-09-18
HJ3381-736,의류(나이키),의류,에어로스위프트 드라이 핏 ADV 엘리트 엔트리 싱글렛," 125,000 ",20%," 100,000 ",트레일위크,2026-09-05,2026-09-18
DA3588-100,용품(나이키),용품,스파크 라이트웨이트 러닝 앵클 삭스," 25,000 ",20%," 20,000 ",트레일위크,2026-09-05,2026-09-18
HJ2194-010,의류(나이키),의류,러닝 디비전 리플렉티브 자켓," 185,000 ",20%," 148,000 ",트레일위크,2026-09-05,2026-09-18
HJ3577-010,의류(나이키),의류,던 레인지 드라이 핏 러닝 팬츠," 145,000 ",20%," 116,000 ",트레일위크,2026-09-05,2026-09-18
FB7953-010,의류(나이키),의류,드라이핏 타이즈," 49,000 ",20%," 39,200 ",트레일위크,2026-09-05,2026-09-18
FN2329-696,의류(나이키),의류,에어로스위프트 드라이 핏 ADV 미드라이즈 브리프 라인드 3인치 러닝 쇼츠," 95,000 ",20%," 76,000 ",트레일위크,2026-09-05,2026-09-18
HJ2249-856,의류(나이키),의류,트레일 드라이 핏 집업 러닝 탑," 115,000 ",20%," 92,000 ",트레일위크,2026-09-05,2026-09-18
HJ2251-010,의류(나이키),의류,트레일 리펠 자켓," 155,000 ",20%," 124,000 ",트레일위크,2026-09-05,2026-09-18
HJ3385-736,의류(나이키),의류,에어로스위프트 드라이 핏 ADV 엘리트 엔트리 쇼츠," 125,000 ",20%," 100,000 ",트레일위크,2026-09-05,2026-09-18
FN2505-010,의류(나이키),의류,에어로스위프트 드라이핏 ADV 싱글렛," 95,000 ",20%," 76,000 ",트레일위크,2026-09-05,2026-09-18
HJ5377-010,의류(나이키),의류,스위프트 드라이 핏 미드라이즈 투인원 러닝 쇼츠," 75,000 ",20%," 60,000 ",트레일위크,2026-09-05,2026-09-18
HQ0500-696,의류(나이키),의류,스위프트 드라이 핏 UV 쿼터집 탑," 99,000 ",20%," 79,200 ",트레일위크,2026-09-05,2026-09-18
HQ0651-214,의류(나이키),의류,스위프트 리펠 패커블 러닝 자켓," 155,000 ",20%," 124,000 ",트레일위크,2026-09-05,2026-09-18
DM4762-345,의류(나이키),의류,드라이 핏 스트라이드 7인치 브리프 라인드 쇼츠," 75,000 ",20%," 60,000 ",트레일위크,2026-09-05,2026-09-18
DX7876-042,용품(나이키ACC),용품,써마 핏 랩 2.0," 35,000 ",20%," 28,000 ",트레일위크,2026-09-05,2026-09-18
N1CMWJ1-001,의류(노말),의류,보라 윈드 자켓," 238,000 ",20%," 190,400 ",트레일위크,2026-09-05,2026-09-18
N1CMWJ1-002,의류(노말),의류,보라 윈드 자켓," 238,000 ",20%," 190,400 ",트레일위크,2026-09-05,2026-09-18
N1ARS02-001,용품(노말),용품,레이스 삭스," 35,000 ",20%," 28,000 ",트레일위크,2026-09-05,2026-09-18
N1ARS02-002,용품(노말),용품,레이스 삭스," 35,000 ",20%," 28,000 ",트레일위크,2026-09-05,2026-09-18
N2AMS02-002,용품(노말),용품,메리노 삭스," 40,000 ",20%," 32,000 ",트레일위크,2026-09-05,2026-09-18
N2AMS02-003,용품(노말),용품,메리노 삭스," 40,000 ",20%," 32,000 ",트레일위크,2026-09-05,2026-09-18
N2ZTR25-003,신발(노말),신발,토미르 02," 298,000 ",20%," 238,400 ",트레일위크,2026-09-05,2026-09-18
N2ZTRG1-001,신발(노말),신발,토미르 02 GTX," 338,000 ",20%," 270,400 ",트레일위크,2026-09-05,2026-09-18
N2ZTRG1-002,신발(노말),신발,토미르 02 GTX," 338,000 ",20%," 270,400 ",트레일위크,2026-09-05,2026-09-18
N2CMAT1-002,의류(노말),의류,액티브 타이츠," 178,000 ",20%," 142,400 ",트레일위크,2026-09-05,2026-09-18
N2CWTB1-002,의류(노말),의류,트레일 크롭 탑," 158,000 ",20%," 126,400 ",트레일위크,2026-09-05,2026-09-18
N1ZKSM1-002,신발(노말),신발,제락 브루트," 348,000 ",20%," 278,400 ",트레일위크,2026-09-05,2026-09-18
N1CWRT2-004,의류(노말),의류,레이스 탱크," 85,000 ",20%," 68,000 ",트레일위크,2026-09-05,2026-09-18
N2CWTB1-001,의류(노말),의류,트레일 크롭 탑," 158,000 ",20%," 126,400 ",트레일위크,2026-09-05,2026-09-18
N1ZKGM1-005,신발(노말),신발,제락 01," 268,000 ",20%," 214,400 ",트레일위크,2026-09-05,2026-09-18
N2ZTR02-014,신발(노말),신발,토미르 02," 298,000 ",20%," 238,400 ",트레일위크,2026-09-05,2026-09-18
MS53278-GAS,의류(뉴발란스),의류,5인치 러닝 쇼츠," 79,900 ",20%," 63,920 ",트레일위크,2026-09-05,2026-09-18
MS53279-BIT,의류(뉴발란스),의류,5인치 러닝 쇼츠," 79,900 ",20%," 63,920 ",트레일위크,2026-09-05,2026-09-18
MT53215-BK,의류(뉴발란스),의류,애슬레틱스 그래픽 싱글렛," 49,900 ",20%," 39,920 ",트레일위크,2026-09-05,2026-09-18
MT53216-LBN,의류(뉴발란스),의류,애슬레틱스 그래픽 티셔츠," 49,900 ",20%," 39,920 ",트레일위크,2026-09-05,2026-09-18
MT51205-BK,의류(뉴발란스),의류,레이스 데이 울트라 라이트 싱글렛," 99,900 ",20%," 79,920 ",트레일위크,2026-09-05,2026-09-18
MT51205-GAS,의류(뉴발란스),의류,레이스 데이 울트라 라이트 싱글렛," 99,900 ",20%," 79,920 ",트레일위크,2026-09-05,2026-09-18
WS51288-BK,의류(뉴발란스),의류,RC 울트라 라이트 스플릿 쇼츠 3인치," 99,900 ",20%," 79,920 ",트레일위크,2026-09-05,2026-09-18
WS51288-GYM,의류(뉴발란스),의류,RC 울트라 라이트 스플릿 쇼츠 3인치," 99,900 ",20%," 79,920 ",트레일위크,2026-09-05,2026-09-18
WP51141_BK,의류(뉴발란스),의류,디파인 하이 라이즈 레깅스 25인치," 79,900 ",20%," 63,920 ",트레일위크,2026-09-05,2026-09-18
MT41250_BK,의류(뉴발란스),의류,애슬레틱 싱글렛," 49,900 ",20%," 39,920 ",트레일위크,2026-09-05,2026-09-18
MT41253_MEW,의류(뉴발란스),의류,애슬레틱스 티셔츠," 49,900 ",20%," 39,920 ",트레일위크,2026-09-05,2026-09-18
MT51205_HMO,의류(뉴발란스),의류,레이스 데이 울트라 라이트 싱글렛," 99,900 ",20%," 79,920 ",트레일위크,2026-09-05,2026-09-18
MT51208_HMO,의류(뉴발란스),의류,레이스데이 울트라 라이트 티셔츠," 99,900 ",20%," 79,920 ",트레일위크,2026-09-05,2026-09-18
WB51052_BK,의류(뉴발란스),의류,RC 브라," 99,900 ",20%," 79,920 ",트레일위크,2026-09-05,2026-09-18
WB51052_HMO,의류(뉴발란스),의류,RC 브라," 99,900 ",20%," 79,920 ",트레일위크,2026-09-05,2026-09-18
WS51288_BK,의류(뉴발란스),의류,RC 울트라 라이트 쇼츠," 99,900 ",20%," 79,920 ",트레일위크,2026-09-05,2026-09-18
WS51288_HMO,의류(뉴발란스),의류,RC 울트라 라이트 쇼츠," 99,900 ",20%," 79,920 ",트레일위크,2026-09-05,2026-09-18
WT51126_WT,의류(뉴발란스),의류,디파인 피티드 티셔츠," 59,900 ",20%," 47,920 ",트레일위크,2026-09-05,2026-09-18
WT51227_BK,의류(뉴발란스),의류,레이스 데이 울트라 라이트 티셔츠," 99,900 ",20%," 79,920 ",트레일위크,2026-09-05,2026-09-18
1104401D131,신발(브룩스),신발,칼데라 8," 179,000 ",20%," 143,200 ",트레일위크,2026-09-05,2026-09-18
1204291B142,신발(브룩스),신발,칼데라 8," 179,000 ",20%," 143,200 ",트레일위크,2026-09-05,2026-09-18
1104411D253,신발(브룩스),신발,카타마운트 4," 199,000 ",20%," 159,200 ",트레일위크,2026-09-05,2026-09-18
BD620676-6018,용품(블랙다이아몬드),용품,스팟 400-R 헤드램프," 105,000 ",20%," 84,000 ",트레일위크,2026-09-05,2026-09-18
L47887800,신발(살로몬),신발,펄사," 210,000 ",20%," 168,000 ",트레일위크,2026-09-05,2026-09-18
L47376000,신발(살로몬),신발,S/LAB 스펙터," 320,000 ",20%," 256,000 ",트레일위크,2026-09-05,2026-09-18
L47829400,신발(살로몬),신발,S/LAB 제네시스 LTD 코트니 V2," 325,000 ",20%," 260,000 ",트레일위크,2026-09-05,2026-09-18
LC2798500,의류(살로몬),의류,트레일 그릿 경량 자켓," 230,000 ",20%," 184,000 ",트레일위크,2026-09-05,2026-09-18
LC2801200,의류(살로몬),의류,트레일 그릿 러닝 브라탑," 130,000 ",20%," 104,000 ",트레일위크,2026-09-05,2026-09-18
LC2461500,용품(살로몬),용품,S/LAB 펄사 3 세트," 250,000 ",20%," 200,000 ",트레일위크,2026-09-05,2026-09-18
LC2461400,용품(살로몬),용품,S/LAB 벨트," 80,000 ",20%," 64,000 ",트레일위크,2026-09-05,2026-09-18
AL0A85NJ330,신발(알트라),신발,올림퍼스 6," 249,000 ",20%," 199,200 ",트레일위크,2026-09-05,2026-09-18
AL0A85NK336,신발(알트라),신발,올림퍼스 6," 249,000 ",20%," 199,200 ",트레일위크,2026-09-05,2026-09-18
AL0A85RG000,신발(알트라),신발,론픽 9 플러스," 219,000 ",20%," 175,200 ",트레일위크,2026-09-05,2026-09-18
AL0A85RH580,신발(알트라),신발,론픽 9 플러스," 219,000 ",20%," 175,200 ",트레일위크,2026-09-05,2026-09-18
K52001ATN24-LGR,의류(칼렉),의류,플라이트 레이스 싱글렛," 200,000 ",20%," 160,000 ",트레일위크,2026-09-05,2026-09-18
K52001ATN12-BLK,의류(칼렉),의류,에어블레이드 레이스 싱글렛Ⅰ," 140,000 ",20%," 112,000 ",트레일위크,2026-09-05,2026-09-18
PRO MARATHON SOCKS V2.0-WHITE.BLACK,용품(컴프레스포트),용품,프로 마라톤 삭스 V2.0," 33,000 ",20%," 26,400 ",트레일위크,2026-09-05,2026-09-18
PRO RACING SOCKS V4.0 RUN HIGH-WHITE.FLUO RED,용품(컴프레스포트),용품,프로 레이싱 삭스 V4.0 런 하이," 29,000 ",20%," 23,200 ",트레일위크,2026-09-05,2026-09-18
C25FW-C03-BLK,용품(케일),용품,라이트 파워그리드 바라클라바," 59,000 ",20%," 47,200 ",트레일위크,2026-09-05,2026-09-18
C25FW-J02-BLK,의류(케일),의류,라이트 다운 베스트," 308,000 ",20%," 246,400 ",트레일위크,2026-09-05,2026-09-18
C25FW-B01-BGE,용품(케일),용품,트레일 토트 그리드," 138,000 ",20%," 110,400 ",트레일위크,2026-09-05,2026-09-18
C25FW-B02-YGE,용품(케일),용품,트레일 토트 그리드," 138,000 ",20%," 110,400 ",트레일위크,2026-09-05,2026-09-18
C25SS-B02-BIE,용품(케일),용품,패니 팩 비 그리드," 125,000 ",20%," 100,000 ",트레일위크,2026-09-05,2026-09-18
C25SS-B02-GRY,용품(케일),용품,패니 팩 비 그리드," 125,000 ",20%," 100,000 ",트레일위크,2026-09-05,2026-09-18
C25SS-B02-GRY2,용품(케일),용품,패니 팩 케일 그리드," 125,000 ",20%," 100,000 ",트레일위크,2026-09-05,2026-09-18
C25SS-E01-BLK500,용품(케일),용품,소프트 플라스크 하이드라팩 500ml," 43,000 ",20%," 34,400 ",트레일위크,2026-09-05,2026-09-18
C25SS-E02-BLK250,용품(케일),용품,소프트 플라스크 하이드라팩 250ml," 32,000 ",20%," 25,600 ",트레일위크,2026-09-05,2026-09-18
C25SS-J03-BLK,의류(케일),의류,플로우 풀오버 베스트," 125,000 ",20%," 100,000 ",트레일위크,2026-09-05,2026-09-18
23410-CLMB,의류(파타고니아),의류,후디니 스태쉬 1/2 집 풀오버," 219,000 ",20%," 175,200 ",트레일위크,2026-09-05,2026-09-18
23435-SRPO,의류(파타고니아),의류,후디니 스태쉬 1/2 집 풀오버," 219,000 ",20%," 175,200 ",트레일위크,2026-09-05,2026-09-18
24093-BLK,의류(파타고니아),의류,윈드 쉴드 자켓," 299,000 ",20%," 239,200 ",트레일위크,2026-09-05,2026-09-18
24093-MRLB,의류(파타고니아),의류,윈드 쉴드 자켓," 299,000 ",20%," 239,200 ",트레일위크,2026-09-05,2026-09-18
44585-HEBK,의류(파타고니아),의류,롱 슬리브 캡 쿨 메리노 블렌드 그래픽 셔츠," 159,000 ",20%," 127,200 ",트레일위크,2026-09-05,2026-09-18
47560Q5-BLK,의류(파타고니아),의류,캡 쿨 라이트웨이트 셔츠," 83,000 ",20%," 66,400 ",트레일위크,2026-09-05,2026-09-18
47560Q5-GRZX,의류(파타고니아),의류,캡 쿨 라이트웨이트 셔츠," 83,000 ",20%," 66,400 ",트레일위크,2026-09-05,2026-09-18
24197Q5-GRZG,의류(파타고니아),의류,에어셰드 프로 풀오버," 219,000 ",20%," 175,200 ",트레일위크,2026-09-05,2026-09-18
24634Q5-SLPU,의류(파타고니아),의류,스트라이더 프로 쇼츠 5인치," 139,000 ",20%," 111,200 ",트레일위크,2026-09-05,2026-09-18
24811Q5-BLK,의류(파타고니아),의류,엔드리스 런 7/8 타이츠," 199,000 ",20%," 159,200 ",트레일위크,2026-09-05,2026-09-18
28758Q5-LMSP,용품(파타고니아),용품,덕빌 트러커 햇," 69,000 ",20%," 55,200 ",트레일위크,2026-09-05,2026-09-18
45695Q5-ABNB,의류(파타고니아),의류,롱 슬리브 캡 쿨 라이트웨이트 셔츠," 99,000 ",20%," 79,200 ",트레일위크,2026-09-05,2026-09-18
45695Q5-SBLX,의류(파타고니아),의류,캐필린 쿨 라이트웨이트 셔츠," 99,000 ",20%," 79,200 ",트레일위크,2026-09-05,2026-09-18
1122931-DBIWE,용품(호카),용품,크루 런 삭 3팩," 55,000 ",20%," 44,000 ",트레일위크,2026-09-05,2026-09-18
1122931-WHTWH,용품(호카),용품,크루 런 삭 3팩," 55,000 ",20%," 44,000 ",트레일위크,2026-09-05,2026-09-18
1164154-BLK,의류(호카),의류,레이스데이 싱글렛," 105,000 ",20%," 84,000 ",트레일위크,2026-09-05,2026-09-18
1162010-FPR,신발(호카),신발,마파테 X," 299,000 ",20%," 239,200 ",트레일위크,2026-09-05,2026-09-18
1151077-BLK,의류(호카),의류,글라이드 5인치 쇼츠 w/Brief," 89,000 ",20%," 71,200 ",트레일위크,2026-09-05,2026-09-18
1164154-HKCT,의류(호카),의류,레이스 데이 싱글렛," 105,000 ",20%," 84,000 ",트레일위크,2026-09-05,2026-09-18
1129930-SLRL,신발(호카),신발,마파테 스피드 4," 239,000 ",20%," 191,200 ",트레일위크,2026-09-05,2026-09-18
